#sample	num_of_est	1-purity_estimate	low_bound	top_bound
TCGA-3C-AAAU-01A	1	0.141	0.128	0.155
TCGA-3C-AALI-01A	1	0.269	0.245	0.291
TCGA-3C-AALJ-01A	1	0.335	0.303	0.36
TCGA-4H-AAAK-01A	1	0.364	0.344	0.394
TCGA-A1-A0SE-01A	1	0.491	0.465	0.517
TCGA-A1-A0SF-01A	1	0.447	0.422	0.474
TCGA-A1-A0SG-01A	1	0.329	0.301	0.352
TCGA-A1-A0SH-01A	1	0.542	0.508	0.58
TCGA-A1-A0SI-01A	1	0.458	0.431	0.485
TCGA-A1-A0SJ-01A	1	0.276	0.255	0.3
TCGA-A1-A0SK-01A	1	0.094	0.075	0.116
TCGA-A1-A0SN-01A	1	0.377	0.352	0.402
TCGA-A1-A0SP-01A	1	0.387	0.361	0.414
TCGA-A2-A04R-01A	1	0.132	0.118	0.145
TCGA-A2-A0CR-01A	1	0.663	0.628	0.695
TCGA-A2-A0CT-01A	1	0.13	0.114	0.145
TCGA-A2-A0EU-01A	1	0.211	0.194	0.232
TCGA-A2-A0SU-01A	1	0.402	0.376	0.422
TCGA-A2-A0SV-01A	1	0.343	0.32	0.368
TCGA-A2-A0SW-01A	1	0.355	0.331	0.382
TCGA-A2-A0SX-01A	1	0.425	0.405	0.442
TCGA-A2-A0SY-01A	1	0.315	0.295	0.338
TCGA-A2-A0T0-01A	1	0.392	0.357	0.423
TCGA-A2-A0T2-01A	1	0.205	0.187	0.223
TCGA-A2-A0T4-01A	1	0.475	0.448	0.5
TCGA-A2-A0T5-01A	1	0.36	0.336	0.388
TCGA-A2-A0T6-01A	1	0.429	0.4	0.457
TCGA-A2-A0T7-01A	1	0.485	0.446	0.541
TCGA-A2-A0YD-01A	1	0.444	0.416	0.471
TCGA-A2-A0YE-01A	1	0.216	0.198	0.235
TCGA-A2-A0YF-01A	1	0.187	0.17	0.204
TCGA-A2-A0YG-01A	1	0.256	0.236	0.281
TCGA-A2-A0YH-01A	1	0.387	0.365	0.417
TCGA-A2-A0YJ-01A	1	0.227	0.206	0.248
TCGA-A2-A0YK-01A	1	0.58	0.55	0.611
TCGA-A2-A0YL-01A	1	0.63	0.593	0.657
TCGA-A2-A0YM-01A	1	0.24	0.222	0.257
TCGA-A2-A0YT-01A	1	0.226	0.208	0.243
TCGA-A2-A1FV-01A	1	0.137	0.122	0.152
TCGA-A2-A1FW-01A	1	0.144	0.129	0.159
TCGA-A2-A1FX-01A	1	0.275	0.251	0.302
TCGA-A2-A1FZ-01A	1	0.489	0.456	0.518
TCGA-A2-A1G0-01A	1	0.423	0.39	0.449
TCGA-A2-A1G4-01A	1	0.191	0.175	0.206
TCGA-A2-A259-01A	1	0.49	0.47	0.547
TCGA-A2-A25A-01A	1	0.573	0.542	0.605
TCGA-A2-A25C-01A	1	0.36	0.319	0.383
TCGA-A2-A25D-01A	1	0.43	0.391	0.458
TCGA-A2-A25E-01A	1	0.282	0.262	0.305
TCGA-A2-A3KD-01A	1	0.421	0.395	0.475
TCGA-A2-A3XT-01A	1	0.447	0.424	0.47
TCGA-A2-A3XV-01A	1	0.326	0.301	0.351
TCGA-A2-A3XX-01A	1	0.361	0.334	0.38
TCGA-A2-A3XZ-01A	1	0.639	0.614	0.693
TCGA-A2-A3Y0-01A	1	0.412	0.379	0.439
TCGA-A2-A4S1-01A	1	0.43	0.398	0.479
TCGA-A2-A4S2-01A	1	0.45	0.418	0.483
TCGA-A2-A4S3-01A	1	0.447	0.415	0.484
TCGA-A7-A0D9-01A	1	0.179	0.163	0.196
TCGA-A7-A13F-01A	1	0.188	0.171	0.208
TCGA-A7-A26G-01A	1	0.567	0.549	0.627
TCGA-A7-A26H-01A	1	0.37	0.346	0.4
TCGA-A7-A26J-01A	1	0.248	0.226	0.268
TCGA-A7-A425-01A	1	0.444	0.415	0.471
TCGA-A7-A4SD-01A	1	0.419	0.395	0.451
TCGA-A7-A56D-01A	1	0.376	0.349	0.408
TCGA-A7-A5ZW-01A	1	0.61	0.564	0.638
TCGA-A7-A5ZX-01A	1	0.558	0.535	0.586
TCGA-A7-A6VV-01A	1	0.421	0.382	0.446
TCGA-A7-A6VW-01A	1	0.298	0.269	0.334
TCGA-A7-A6VX-01A	1	0.178	0.165	0.193
TCGA-A7-A6VY-01A	1	0.429	0.391	0.459
TCGA-A8-A075-01A	1	0.334	0.311	0.362
TCGA-A8-A08O-01A	1	0.29	0.26	0.311
TCGA-A8-A0A6-01A	1	0.447	0.42	0.474
